"rank","Name","Country","Population","Prev","Growth"
"236","Vijayawada","India","2104113","2039845","0.0315"
"237","Brussels","Belgium","2095688","2080788","0.0072"
"238","Mecca","Saudi Arabia","2078766","2042106","0.0180"
"239","Hiroshima","Japan","2077569","2083223","-0.0027"
"240","Perth","Australia","2067333","2041959","0.0124"
"241","Multan","Pakistan","2059534","2015091","0.0221"
"242","Yangzhou","China","2039472","1992773","0.0234"
"243","Minsk","Belarus","2038822","2028104","0.0053"
"244","Bursa","Turkey","2021116","1986268","0.0175"
"245","Baoding","China","2019960","1975790","0.0224"
"246","Aleppo","Syria","2003671","1916781","0.0453"
"247","Putian","China","2002884","1907350","0.0501"
"248","Taizhou Zhejiang","China","1992626","1934847","0.0299"
"249","Conakry","Guinea","1991134","1938272","0.0273"
"250","Linyi Shandong","China","1984133","1936908","0.0244"
"251","Wuhu Anhui","China","1960681","1870281","0.0483"
"252","Vienna","Austria","1944910","1929944","0.0078"
"253","Kollam","India","1940571","1851558","0.0481"
"254","Valencia","Venezuela","1934891","1910188","0.0129"
"255","Rajkot","India","1933522","1878032","0.0295"
"256","Haikou","China","1931705","1889071","0.0226"
"257","Almaty","Kazakhstan","1927623","1895742","0.0168"
"258","Baixada Santista","Brazil","1911338","1892314","0.0101"
"259","Yancheng Jiangsu","China","1907903","1864424","0.0233"
"260","Daqing","China","1907293","1859001","0.0260"
"261","Rabat","Morocco","1907071","1884802","0.0118"
"262","West Yorkshire","United Kingdom","1901947","1889095","0.0068"
"263","Semarang","Indonesia","1901570","1866492","0.0188"
"264","Quito","Ecuador","1900571","1873763","0.0143"
"265","Panama City","Panama","1899081","1860291","0.0209"
"266","Hyderabad","Pakistan","1886734","1849829","0.0200"
"267","Ludhiana","India","1885456","1856849","0.0154"
"268","La Paz","Bolivia","1881796","1857797","0.0129"
"269","Lianyungang","China","1877847","1820127","0.0317"
"270","Lome","Togo","1874394","1827878","0.0254"
"271","Davao City","Philippines","1866401","1825450","0.0224"
"272","Leon de los Aldamas","Mexico","1848932","1825080","0.0131"
"273","Zhuhai","China","1803711","1759378","0.0252"
"274","Turin","Italy","1795235","1792163","0.0017"
"275","Bucharest","Romania","1794248","1803247","-0.0050"
"276","Adana","Turkey","1792565","1770850","0.0123"
"277","Warsaw","Poland","1789620","1783251","0.0036"
"278","Hamburg","Germany","1788995","1789954","-0.0005"
"279","Datong","China","1788913","1745333","0.0250"
"280","Benin City","Nigeria","1781999","1727169","0.0317"
"281","Budapest","Hungary","1771865","1768073","0.0021"
"282","Madurai","India","1765534","1734173","0.0181"
"283","Montevideo","Uruguay","1759906","1752388","0.0043"
"284","Quanzhou","China","1755721","1694076","0.0364"
"285","Palembang","Indonesia","1753269","1722700","0.0177"
"286","Santa Cruz","Bolivia","1748540","1712688","0.0209"
"287","Matola","Mozambique","1748247","1705886","0.0248"
"288","Gaziantep","Turkey","1739687","1704118","0.0209"
"289","Sharjah","United Arab Emirates","1736799","1684649","0.0310"
"290","Phoenix","United States","1733630","1707310","0.0154"
"291","Lyon","France","1733581","1719268","0.0083"
"292","Meerut","India","1728435","1696440","0.0189"
"293","Jiangmen","China","1713021","1687310","0.0152"
"294","Can Tho","Vietnam","1703487","1617602","0.0531"
"295","Raipur","India","1702048","1642169","0.0365"
"296","Varanasi","India","1692509","1664942","0.0166"
"297","Xiangyang","China","1684991","1657726","0.0164"
"298","Mosul","Iraq","1683029","1629932","0.0326"
"299","Glasgow","United Kingdom","1680669","1673332","0.0044"
"300","Novosibirsk","Russia","1675866","1663748","0.0073"
"301","Shiraz","Iran","1675226","1651362","0.0145"
"302","La Laguna","Mexico","1674258","1614854","0.0368"
"303","Cixi","China","1672457","1609221","0.0393"
"304","Stockholm","Sweden","1656571","1632798","0.0146"
"305","Anshan","China","1647001","1629166","0.0109"
"306","Auckland","New Zealand","1630092","1606564","0.0146"
"307","Jamshedpur","India","1629621","1599434","0.0189"
"308","Tabriz","Iran","1627304","1611133","0.0100"
"309","Yinchuan","China","1626584","1579049","0.0301"
"310","Jilin","China","1623240","1603332","0.0124"
"311","Srinagar","India","1622454","1585774","0.0231"
"312","Batam","Indonesia","1617168","1546064","0.0460"
