"rank","Name","Country","Population","Prev","Growth"
"1056","Larkana","Pakistan","548916","534288","0.0274"
"1057","Basilan City","Philippines","548445","533135","0.0287"
"1058","Valledupar","Colombia","547790","533453","0.0269"
"1059","Chaoyang","China","546816","539052","0.0144"
"1060","Uige","Angola","546706","510631","0.0706"
"1061","Hamhung","North Korea","545847","548992","-0.0057"
"1062","Sukkur","Pakistan","545349","534486","0.0203"
"1063","Rayong","Thailand","545307","538150","0.0133"
"1064","Port of Spain","Trinidad and Tobago","544305","544207","0.0002"
"1065","Kerman","Iran","543855","541485","0.0044"
"1066","Abeokuta","Nigeria","543723","532856","0.0204"
"1067","Mekele","Ethiopia","543622","523914","0.0376"
"1068","Yongkang","China","543073","526069","0.0323"
"1069","Edinburgh","United Kingdom","542599","536775","0.0108"
"1070","Haining","China","542380","527655","0.0279"
"1071","San Juan","Argentina","541366","536913","0.0083"
"1072","Ryazan","Russia","540183","540317","-0.0002"
"1073","Vilnius","Lithuania","539978","538894","0.0020"
"1074","Taishan","China","539674","524937","0.0281"
"1075","Calamba","Philippines","539157","524577","0.0278"
"1076","Mesa","United States","538146","528079","0.0191"
"1077","Hannover","Germany","537418","536976","0.0008"
"1078","Fresno","United States","537100","534338","0.0052"
"1079","Chuzhou","China","536745","522062","0.0281"
"1080","Namangan","Uzbekistan","536396","528763","0.0144"
"1081","Pingdu","China","536334","525093","0.0214"
"1082","Al-Mukalla","Yemen","536256","506356","0.0590"
"1083","Qingzhou","China","535777","520371","0.0296"
"1084","Longkou","China","535497","520568","0.0287"
"1085","Naberezhnye Tchelny","Russia","535124","534726","0.0007"
"1086","Astrakhan","Russia","534762","534947","-0.0003"
"1087","Santa Marta","Colombia","533792","527326","0.0123"
"1088","Ambon","Indonesia","533623","513457","0.0393"
"1089","Bellary","India","533505","520926","0.0241"
"1090","Diwaniyah","Iraq","532961","513369","0.0382"
"1091","Pietermaritzburg","South Africa","532766","526912","0.0111"
"1092","Rustenburg","South Africa","532711","509368","0.0458"
"1093","Heyuan","China","532613","523818","0.0168"
"1094","Yanshi","China","532183","507643","0.0483"
"1095","Al-Raqqa","Syria","531952","521537","0.0200"
"1096","Surakarta","Indonesia","531897","527279","0.0088"
"1097","Dali","China","531353","514610","0.0325"
"1098","Sheikhupura","Pakistan","530798","517342","0.0260"
"1099","Changning","China","530738","510275","0.0401"
"1100","Grenoble","France","530690","527720","0.0056"
"1101","Puerto Vallarta","Mexico","530078","515909","0.0275"
"1102","Balashikha","Russia","530037","514662","0.0299"
"1103","Angeles City","Philippines","529991","509765","0.0397"
"1104","Gombe","Nigeria","529283","508575","0.0407"
"1105","Hosur","India","528951","493896","0.0710"
"1106","Poznan","Poland","528457","531030","-0.0048"
"1107","Gongyi","China","527880","511410","0.0322"
"1108","Van","Turkey","527682","511391","0.0319"
"1109","Gaoyou","China","527063","507934","0.0377"
"1110","Shizuishan","China","527050","514455","0.0245"
"1111","El Djelfa","Algeria","527033","503397","0.0470"
"1112","Kikwit","DR Congo","526217","507462","0.0370"
"1113","Ar-Rusayfah","Jordan","525880","523543","0.0045"
"1114","Vale do Aco","Brazil","525634","521744","0.0075"
"1115","Cuautla Morelos","Mexico","525498","516755","0.0169"
"1116","Sacramento","United States","525398","519511","0.0113"
"1117","Kalasin","Thailand","524519","517635","0.0133"
"1118","Shangyu","China","524344","510813","0.0265"
"1119","Atlanta","United States","524067","515439","0.0167"
"1120","Al-Mahallah al-Kubra","Egypt","523903","517549","0.0123"
"1121","Loum","Cameroon","523577","497578","0.0523"
"1122","Laixi","China","523107","505117","0.0356"
"1123","Kakinada","India","522676","514227","0.0164"
"1124","Rupganj","Bangladesh","522366","481718","0.0844"
"1125","Penza","Russia","522207","523092","-0.0017"
"1126","Berbera","Somalia","521966","499396","0.0452"
"1127","Utsunomiya","Japan","521669","522100","-0.0008"
"1128","Porto Velho","Brazil","521270","510419","0.0213"
"1129","Davanagere","India","520856","511843","0.0176"
"1130","Qianjiang","China","520601","511738","0.0173"
"1131","Chuxiong","China","520282","500867","0.0388"
"1132","Songyuan","China","519674","513231","0.0126"
"1133","Duisburg","Germany","519056","515076","0.0077"
"1134","Nakhon Pathom","Thailand","518433","503271","0.0301"
"1135","Muzaffarpur","India","516403","504158","0.0243"
"1136","Mataram","Indonesia","516280","505024","0.0223"
"1137","Mbouda","Cameroon","516015","485660","0.0625"
"1138","Zinder","Niger","515736","489178","0.0543"
"1139","Changge","China","515109","490123","0.0510"
"1140","Kirov","Russia","514996","513003","0.0039"
"1141","Kuantan","Malaysia","514419","502866","0.0230"
"1142","Ziyang","China","514110","500094","0.0280"
"1143","Xingning","China","513553","487815","0.0528"
"1144","Kandahar","Afghanistan","511949","498002","0.0280"
"1145","Nurenberg","Germany","511889","511941","-0.0001"
"1146","London CA","Canada","511368","508230","0.0062"
"1147","Eslamshahr","Iran","511227","498261","0.0260"
"1148","Bournemouth","United Kingdom","510021","505687","0.0086"
"1149","Jinjiang","China","509894","498294","0.0233"
"1150","Khon-Kaen","Thailand","509278","502594","0.0133"
"1151","Cheboksary","Russia","509038","505870","0.0063"
"1152","Matsuyama","Japan","508241","509958","-0.0034"
"1153","Tanta","Egypt","508012","501423","0.0131"
"1154","Shuangyashan","China","507257","503179","0.0081"
"1155","Lipetsk","Russia","505846","507291","-0.0028"
"1156","Karaganda","Kazakhstan","505157","504946","0.0004"
"1157","Changyi","China","505019","482027","0.0477"
"1158","Arusha","Tanzania","504857","492919","0.0242"
"1159","Murcia","Spain","504491","499783","0.0094"
"1160","Malatya","Turkey","503988","496002","0.0161"
"1161","Guang-an","China","503551","484324","0.0397"
"1162","Tirana","Albania","502734","493712","0.0183"
"1163","Surat Thani","Thailand","502564","495968","0.0133"
"1164","Kansas City","United States","501957","498642","0.0066"
"1165","Ubon Ratchathani","Thailand","501747","495308","0.0130"
"1166","Kolwezi","DR Congo","501375","494654","0.0136"
"1167","Kabinda","DR Congo","501054","465599","0.0761"
"1168","Jianyang","China","500925","487133","0.0283"
"1169","Douai-Lens","France","500921","500776","0.0003"
"1170","Nanping","China","500785","491287","0.0193"
